iter	Logloss
0	0.6792070022
1	0.6662891496
2	0.6548077859
3	0.6422761854
4	0.6304903134
5	0.6210520724
6	0.6112910922
7	0.6022193781
8	0.5929477285
9	0.5843615353
10	0.5760489125
11	0.5683741491
12	0.5608687124
13	0.5538063654114	0.5476569532115	0.5409067262
16	0.5349723541117	0.5289736911
18	0.5242288192
19	0.5188778684
20	0.514017404
21	0.5093524661
22	0.5048926413
23	0.5009633589
24	0.4972020585
25	0.4933407874
26	0.4895190856
27	0.4863484912828	0.4829711112929	0.4800301111
30	0.4775205276
31	0.4745036764
32	0.4717001114
33	0.4694715114
34	0.4669334135	35	0.4643933436	36	0.4627794437	37	0.4605934938	38	0.4585278939	39	0.456768140	040	0.454469241	041	0.452613842	042	0.450714743	043	0.449033744	044	0.448006145	045	0.446360846	046	0.445226147	047	0.4437239379
48	0.4422492342
49	0.4408553532
50	0.4395653398
51	0.4383493051
52	0.4369985962
53	0.435857854	054	0.4344557885
55	0.433404156	56	0.4323111457	57	0.4311878158	58	0.4300736659	59	0.429280560	060	0.428458561	061	0.42784362	0.62	0.42706563	0.4220880786
64	0.4213903374
65	0.420694537
66	0.4198686175
67	0.4191210046
68	0.4184314885
69	0.4177138174
70	0.470	0.4203984619
71	0.4195655788
72	0.4187287834
73	0.4180585562
74	0.41758801
75	0.416875076	076	0.4162924678
77	0.4157741521
78	0.4152036839
79	0.4146850398
80	0.4139994441
81	0.4135200623
82	0.4130193166
83	0.4124714895
84	0.4121000084
85	0.411578536
86	0.4110221955
87	0.4104774169
88	0.4100431028
89	0.4096995228
90	0.40926591	091	0.40886884
92	0.4084058201
93	0.4079650707
94	0.4075582859
95	0.4071602771
96	0.4067964131
97	0.4063657276
98	0.4058947443
99	0.4055630501
100	0.4051291729
101	0.4046273113
102	0.4042529217
103	0.4038710793
104	0.4035616326
105	0.4032061807
106	0.4029062244
107	0.4024790455
108	0.4021347553
109	0.4017591131
110	0.4016833071
111	0.401318784
112	0.4009390628
113	0.4006243302
114	0.40033755115115	0.39997317116116	0.3997313411117	0.399394453118	0.3956445564
119	0.3953681391
120	0.3950902391
121	0.394867383
122	0.3946782608
123	0.3943472721
124	0.3940505767
125	0.3937452941
126	0.3934613478
127	0.3931329932
128	0.3929194049
129	0.3926389039
130	0.3923634283
131	0.3919794915
132	0.3917508757
133	0.3914620584
134	0.3912342589
135	0.3909468563
136	0.3906633973
137	0.390396531
138	0.390112089
139	0.3898678249
140	0.3896683994
141	0.3895501185
142	0.3893243638
143	0.3890762816
144	0.3887846321
145	0.3884903551
146	0.3882944498
147	0.3880846612
148	0.387872108
149	0.3876254081
150	0.3873336075
151	0.3870451266
152	0.3867414244
153	0.386535987
154	0.3862291527
155	0.3859536346
156	0.3858976282
157	0.385692767
158	0.3855421755
159	0.3853172572
160	0.3850791685
161	0.3848611479
162	0.3845712601
163	0.3844504618
164	0.3842917556
165	0.3841520175
166	0.3839540509
167	0.383815741
168	0.3836948561
169	0.3834502001
170	0.3831260544
171	0.3829567599
172	0.3828183989
173	0.3826502607
174	0.3824009911
175	0.3821753885
176	0.3818907257
177	0.3817466628
178	0.3815930033
179	0.3814127926
180	0.3812337826
181	0.381072789
182	0.3808654231
183	0.3806946997
184	0.3805305692
185	0.3802569515
186	0.3799557803
187	0.379673806
188	0.3795069401
189	0.3792827127
190	0.3791335146
191	0.3789714905
192	0.3789182359
193	0.3787040257
194	0.3784599699
195	0.3782062546
196	0.3780149962
197	0.3778256758
198	0.3777170317
199	0.3775081611
200	0.3772933072
201	0.3771105842
202	0.3769028166
203	0.376748771
204	0.3766065704
205	0.3763993623
206	0.3762307666
207	0.3760208402
208	0.3759693797
209	0.3758607369
210	0.3756375648
211	0.3755568586
212	0.3753416526
213	0.3751188975
214	0.3750154161
215	0.3747707152
216	0.3746210331
217	0.374560699
218	0.3745142384
219	0.3743254053
220	0.3741848804
221	0.3739954299
222	0.3738578715
223	0.3737343498
224	0.3735576553
225	0.373450107
226	0.3733655932
227	0.37317193
228	0.3728640963
229	0.3726584342
230	0.3725509119
231	0.3724158878
232	0.3721937479
233	0.3720288896
234	0.3718946033
235	0.3716822074
236	0.3715080123
237	0.3713156349
238	0.3712787023
239	0.3709366784
240	0.3708030041
241	0.3706223495
242	0.3705404575
243	0.3703890098
244	0.3702157239
245	0.3700745439
246	0.369838079
247	0.3696164196
248	0.36941931
249	0.3692668263
250	0.3692663141
251	0.3691553483
252	0.3690190412
253	0.368857034
254	0.3687443179
255	0.3686317763
256	0.3685604819
257	0.3683786458
258	0.368225645
259	0.3679906381
260	0.3678647181
261	0.367684092
262	0.3675584888
263	0.3674186931
264	0.3673363513
265	0.3671881608
266	0.3669407385
267	0.3668197848
268	0.3667325065
269	0.3664540574
270	0.3663419807
271	0.3662736768
272	0.3661638339
273	0.3658995729
274	0.3657809712
275	0.3655070809
276	0.3653523891
277	0.3651254132
278	0.36494622
279	0.3648461618
280	0.3646303002
281	0.3644514774
282	0.3643105364
283	0.364186731
284	0.3639450346
285	0.3637788274
286	0.3635468211
287	0.3634456813
288	0.3633228809
289	0.3632406682
290	0.3631412418
291	0.3630040728
292	0.3628981803
293	0.3627184526
294	0.3626081018
295	0.362487693
296	0.3624061257
297	0.3622984359
298	0.3621920217
299	0.3620952647
300	0.3618793904
301	0.3615891294
302	0.3613955334
303	0.361169754
304	0.3610738131
305	0.360959653
306	0.3608545658
307	0.3608041944
308	0.3606436612
309	0.3605776431
310	0.360445597
311	0.3602319672
312	0.3601043152
313	0.3600067516
314	0.3598639737
315	0.3596826689
316	0.359581114
317	0.3593648572
318	0.35911025
319	0.3589552884
320	0.3587131017
321	0.3586218928
322	0.358423071
323	0.3582796171
324	0.3581232789
325	0.3580628418
326	0.3579606583
327	0.3577724158
328	0.3575549485
329	0.3574174554
330	0.3572593275
331	0.3571269914
332	0.3570106999
333	0.3568563684
334	0.3566812906
335	0.3565292416
336	0.3564630836
337	0.3563377181
338	0.3562332646
339	0.3559966523
340	0.3558851857
341	0.3556650145
342	0.3555734
343	0.3554683644
344	0.3553002961
345	0.3551405819
346	0.3550144594
347	0.3547935148
348	0.3546907629
349	0.3546250953
350	0.3546204004
351	0.3545111071
352	0.354416614
353	0.3543522554
354	0.3541700543
355	0.354114776
356	0.3540281053
357	0.353992391
358	0.3538254866
359	0.3537556016
360	0.3535152787
361	0.3532908066
362	0.3531999821
363	0.3529320506
364	0.3528458892
365	0.3527487977
366	0.3526378251
367	0.3524681768
368	0.352318259
369	0.352162783
370	0.3520061591
371	0.3518170413
372	0.3517080572
373	0.3515520674
374	0.3514456537
375	0.3514130255
376	0.351378302
377	0.3512872424
378	0.3511625149
379	0.3509065156
380	0.3508259572
381	0.3506613758
382	0.3505739133
383	0.3504420981
384	0.3502318608
385	0.3500807875
386	0.349973032
387	0.3498661926
388	0.3496511997
389	0.3494494596
390	0.3493191221
391	0.3491979931
392	0.3491084891
393	0.3489793757
394	0.3488839412
395	0.348713722
396	0.348611357
397	0.3484792187
398	0.3482083359
399	0.348134341
400	0.3479433446
401	0.3478746488
402	0.3477151495
403	0.347631111
404	0.3474845244
405	0.3473691482
406	0.3472712141
407	0.347150372
408	0.3470398189
409	0.3468867108
410	0.3467549995
411	0.3466552045
412	0.3465651158
413	0.3464523745
414	0.346337851
415	0.3462237447
416	0.3460512855
417	0.3459064589
418	0.3457727135
419	0.3455667622
420	0.3454590796
421	0.3453064031
422	0.3451407827
423	0.345017315
424	0.3449361993
425	0.3448034077
426	0.344584964
427	0.3445103335
428	0.3443090225
429	0.3441548984
430	0.3440862373
431	0.3439150962
432	0.3437073651
433	0.3435821213
434	0.3434789843
435	0.3433180515
436	0.3431298144
437	0.3429509922
438	0.3428325018
439	0.3427811579
440	0.342641001
441	0.3425418713
442	0.3424663419
443	0.3423011071
444	0.342194328
445	0.3420512018
446	0.3419217776
447	0.3417882932
448	0.3416677437
449	0.3415212426
450	0.3414000966
451	0.3412069016
452	0.3409215162
453	0.3407823118
454	0.3407311252
455	0.3405464691
456	0.3404896026
457	0.3404083609
458	0.3402358671
459	0.3400319218
460	0.3398943521
461	0.339780399
462	0.3396742775
463	0.3395906775
464	0.3394447593
465	0.3393619029
466	0.3391273574
467	0.3389115172
468	0.3388175463
469	0.338664519
470	0.3385935458
471	0.3385244862
472	0.3384095032
473	0.3382864537
474	0.3382248286
475	0.3381093138
476	0.3379990655
477	0.3378800395
478	0.3377711971
479	0.337621063
480	0.3374651634
481	0.3373878416
482	0.3372732033
483	0.3371463433
484	0.3369646479
485	0.3369003261
486	0.3367625011
487	0.3366537818
488	0.3365856176
489	0.3364258302
490	0.3362727379
491	0.3361548604
492	0.3359410131
493	0.3357467014
494	0.335593677
495	0.3354121833
496	0.3352999336
497	0.3351860689
498	0.3350743669
499	0.3349821911
500	0.3348216567
501	0.3347107348
502	0.3346182463
503	0.33447797
504	0.3343235377
505	0.3341963928
506	0.334063113
507	0.3339520694
508	0.3337869111
509	0.3336600261
510	0.333532064
511	0.3334105494
512	0.3333138306
513	0.3331677601
514	0.3330372686
515	0.3329269016
516	0.3328495507
517	0.3327610895
518	0.332692026
519	0.3326059995
520	0.332503855
521	0.3323875846
522	0.3322421793
523	0.3321225741
524	0.3319839783
525	0.3318843667
526	0.3317608557
527	0.3315857564
528	0.3314989617
529	0.331388152
530	0.3312653329
531	0.3311902891
532	0.3310821027
533	0.3309579613
534	0.3308043054
535	0.3306789485
536	0.3305781372
537	0.3305040324
538	0.3304116982
539	0.3303181926
540	0.3302128433
541	0.3301432492
542	0.3300385756
543	0.3299213403
544	0.3297650931
545	0.3296327928
546	0.3295241482
547	0.3294427702
548	0.3293106126
549	0.3291775346
550	0.329106236
551	0.3289690695
552	0.3288813386
553	0.3288032599
554	0.3287621202
555	0.3286916145
556	0.3285371329
557	0.328437115
558	0.3283491649
559	0.3282425783
560	0.3281479261
561	0.3280249087
562	0.3278528571
563	0.3277711741
564	0.3276355106
565	0.3275459724
566	0.3274773217
567	0.3566	0.3303568	0.3567	0.3302634199
568	0.3301499105
569	0.329997851
570	0.3299121586
571	0.3298117756
572	0.3296721309
573	0.329537238
574	0.329391046
575	0.329323104
576	0.3292558379
577	0.3291060537
578	0.328986092
579	0.3288020617
580	0.3286867341
581	0.328509317
582	0.3283246088
583	0.32820367
584	0.3281450124
585	0.3280061492
586	0.3278808252
587	0.3277430244
588	0.327567808
589	0.327490742
590	0.3273691445
591	0.3272161543
592	0.3271177398
593	0.3270453504
594	0.3269366161
595	0.3268516495
596	0.3267422284
597	0.3266305521
598	0.3265483918
599	0.3264288015
600	0.3262868127
601	0.3261754939
602	0.3260966627
603	0.3260261474
604	0.3259454092
605	0.3258483842
606	0.3257163338
607	0.32566504
608	0.3255929799
609	0.3254856738
610	0.325408248
611	0.3253100181
612	0.3251284455
613	0.3250259923
614	0.3249194765
615	0.3248011419
616	0.3247319706
617	0.3245814852
618	0.3244753481
619	0.3243986627
620	0.3242918172
621	0.3242238194
622	0.3241332101
623	0.3240577049
624	0.3239733938
625	0.3239158825
626	0.3238524733
627	0.3237753374
628	0.3236574605
629	0.3235537549
630	0.3234951738
631	0.3234295764
632	0.3233383023
633	0.3232817223
634	0.3232196734
635	0.3231141938
636	0.3230227159
637	0.322910116
638	0.3228100185
639	0.3226422326
640	0.3225526124
641	0.3224605462
642	0.322386079
643	0.3222733241
644	0.3221740687
645	0.3221101708
646	0.3220147789
647	0.3219408243
648	0.3218520872
649	0.3217556294
650	0.3216843052
651	0.3216153195
652	0.3215381467
653	0.3213643166
654	0.3213068113
655	0.321120188
656	0.3209672359
657	0.3208237602
658	0.3207599778
659	0.3206981966
660	0.3206334227
661	0.3204971676
662	0.3203710485
663	0.3202707146
664	0.3202088406
665	0.3200820879
666	0.3199829934
667	0.3197464123
668	0.3196251927
669	0.3195644102
670	0.3194983122
671	0.3193974754
672	0.319309407
673	0.319173659
674	0.3191069635
675	0.3190176054
676	0.3189073077
677	0.3188158208
678	0.3187202267
679	0.3186669361
680	0.3185869986
681	0.3185142273
682	0.3183362736
683	0.318257696
684	0.3181938692
685	0.3181112419
686	0.318016284
687	0.3179275876
688	0.3177578324
689	0.3176545401
690	0.3175334756
691	0.3174223297
692	0.3173321049
693	0.317220246
694	0.3171576752
695	0.3170901423
696	0.3170267615
697	0.3169205371
698	0.3168300441
699	0.3167349534
700	0.316572448
701	0.3164761129
702	0.3163438049
703	0.3162875891
704	0.3162009715
705	0.3159881922
706	0.3158771643
707	0.3156575081
708	0.3155080837
709	0.3154383713
710	0.3153132371
711	0.3152149567
712	0.3150970801
713	0.3150110538
714	0.3149279713
715	0.3147195703
716	0.3146248362
717	0.3145393361
718	0.3144843466
719	0.314390834
720	0.3142524199
721	0.3141754489
722	0.3140249096
723	0.3139064028
724	0.3137813166
725	0.3137285103
726	0.3136900874
727	0.3136003001
728	0.3135397579
729	0.3134536392
730	0.3133093461
731	0.313191379
732	0.3130810782
733	0.3128871165
734	0.3127885013
735	0.3126476756
736	0.3125655147
737	0.3125169848
738	0.3124435946
739	0.3123870739
740	0.3122591357
741	0.3120740983
742	0.3119150545
743	0.3117530196
744	0.3116566317
745	0.3115194632
746	0.3114648976
747	0.3113784342
748	0.311262766
749	0.3111687913
750	0.3110713524
751	0.3110132084
752	0.3108905747
753	0.3107971814
754	0.3107097779
755	0.3106273287
756	0.3105432686
757	0.3104725816
758	0.310408612
759	0.3103462255
760	0.3102543939
761	0.3101381483
762	0.3100691486
763	0.3100344507
764	0.3099243062
765	0.3098232995
766	0.309737807
767	0.3095408073
768	0.3095021946
769	0.3094521807
770	0.3093466915
771	0.3091233103
772	0.3090735266
773	0.308975281
774	0.3089102335
775	0.3088038339
776	0.3086836678
777	0.3086057424
778	0.3085177837
779	0.3084429056
780	0.3083730862
781	0.3082909607
782	0.308166207
783	0.3080151937
784	0.3077745033
785	0.3077094721
786	0.3076242806
787	0.3075176041
788	0.3074333603
789	0.3072995196
790	0.3072099882
791	0.307034309
792	0.3069755461
793	0.3068704887
794	0.3067650599
795	0.3066261683
796	0.3064003217
797	0.3062811838
798	0.3061958316
799	0.306068925
800	0.305972622
801	0.305870143
802	0.3057632459
803	0.3056115143
804	0.3054534203
805	0.3053126189
806	0.3050945421
807	0.3049909756
808	0.3049034336
809	0.3048105424
810	0.3046233459
811	0.3045532831
812	0.3044250735
813	0.3042756929
814	0.304190392
815	0.3041022164
816	0.3040186027
817	0.3039516973
818	0.3039086722
819	0.3038266128
820	0.3037296478
821	0.3036048865
822	0.303506304
823	0.3033761818
824	0.3032524942
825	0.3031061178
826	0.3029245623
827	0.3027761692
828	0.3026452042
829	0.3025369941
830	0.3024800756
831	0.3022708807
832	0.3021965272
833	0.3020625083
834	0.30195502
835	0.3018847869
836	0.3017660527
837	0.3016558855
838	0.3015933346
839	0.3015348562
840	0.3014347364
841	0.3013558729
842	0.3013063154
843	0.3012786575
844	0.3012302809
845	0.3011124325
846	0.3010265896
847	0.3009064562
848	0.3008583258
849	0.3008001597
850	0.3006440737
851	0.300530814
852	0.3004821969
853	0.3003935534
854	0.3002987507
855	0.3002054586
856	0.3001076138
857	0.3000061217
858	0.2998922547
859	0.2997548553
860	0.2995545217
861	0.2995111688
862	0.2994854344
863	0.2993674443
864	0.2992959816
865	0.2992151347
866	0.299132063
867	0.2989891301
868	0.2988408288
869	0.2987853504
870	0.2986778539
871	0.2985990619
872	0.2985084734
873	0.2984187214
874	0.2983319407
875	0.2982847753
876	0.2981770435
877	0.2980568795
878	0.2979533569
879	0.2978529474
880	0.2977554708
881	0.2977287203
882	0.297629687
883	0.2974630656
884	0.297355681
885	0.2972820136
886	0.2971644896
887	0.2970741212
888	0.2970054121
889	0.2968900642
890	0.2967832585
891	0.296668402
892	0.2965373795
893	0.296411649
894	0.2963098198
895	0.2961245955
896	0.2960204212
897	0.2958970195
898	0.2958407672
899	0.2957848654
900	0.2955960721
901	0.2954867448
902	0.2954212597
903	0.2952913457
904	0.2951669634
905	0.2950546501
906	0.2949933163
907	0.2948881855
908	0.294781547
909	0.2946976931
910	0.294582161
911	0.2944529245
912	0.2943533882
913	0.2942218695
914	0.2941122023
915	0.2939865083
916	0.2938618065
917	0.2937854043
918	0.2936818433
919	0.2935645652
920	0.2934468734
921	0.2933232025
922	0.2932244013
923	0.2931180559
924	0.2930798107
925	0.2930066185
926	0.2929654426
927	0.2928675625
928	0.2928096464
929	0.2927108572
930	0.2926082844
931	0.2925341875
932	0.2924425095
933	0.2923744594
934	0.2922558233
935	0.2921985741
936	0.2920668424
937	0.2919910384
938	0.2918704417
939	0.29179643
940	0.2917230939
941	0.2916015857
942	0.2915464053
943	0.2914282048
944	0.2913036928
945	0.2912405566
946	0.2911487402
947	0.2910985573
948	0.2910763409
949	0.2910323574
950	0.2909836206
951	0.2909394525
952	0.2908910603
953	0.2907990689
954	0.2907595146
955	0.2906791485
956	0.2905563771
957	0.2904300032
958	0.2903301805
959	0.2902340665
960	0.2901752449
961	0.2901026074
962	0.2900093242
963	0.2899014321
964	0.2898233893
965	0.2897432542
966	0.2896404555
967	0.2894925039
968	0.2893744409
969	0.2892837951
970	0.2892088995
971	0.2891405441
972	0.2890848004
973	0.2890345206
974	0.2889752542
975	0.2889382914
976	0.2888231833
977	0.2887234192
978	0.2886327567
979	0.288512086
980	0.2884015707
981	0.2883547275
982	0.2882566621
983	0.2880811956
984	0.2879722389
985	986	0.2866581617
987	0.2865480546
988	0.286406952
989	0.2863024124
990	0.286163627
991	0.286070884
992	0.285960967
993	0.2859200249
994	0.2858285376
995	0.2857810381
996	0.2856725961
997	0.2855872444
998	0.2854965785
999	0.2853734111
999	0.2864642323
